路線編號,路線,路線名稱,站序,中文站點名,去回
985,A1,臺中國際機場 - 臺中公園,1,臺中國際機場,去程
985,A1,臺中國際機場 - 臺中公園,2,新烏日車站,去程
985,A1,臺中國際機場 - 臺中公園,3,永春東七路,去程
985,A1,臺中國際機場 - 臺中公園,4,黎明路,去程
985,A1,臺中國際機場 - 臺中公園,5,文心路一段,去程
985,A1,臺中國際機場 - 臺中公園,6,東興路二段,去程
985,A1,臺中國際機場 - 臺中公園,7,忠明南路,去程
985,A1,臺中國際機場 - 臺中公園,8,美術館,去程
985,A1,臺中國際機場 - 臺中公園,9,大墩文化中心,去程
985,A1,臺中國際機場 - 臺中公園,10,臺中教育大學,去程
985,A1,臺中國際機場 - 臺中公園,11,臺中州廳,去程
985,A1,臺中國際機場 - 臺中公園,12,成旅晶贊飯店,去程
985,A1,臺中國際機場 - 臺中公園,13,星動銀河旅站,去程
985,A1,臺中國際機場 - 臺中公園,14,臺中公園,去程
985,A1,臺中國際機場 - 臺中公園,1,臺中公園,回程
985,A1,臺中國際機場 - 臺中公園,2,成旅晶贊飯店,回程
985,A1,臺中國際機場 - 臺中公園,3,臺中州廳,回程
985,A1,臺中國際機場 - 臺中公園,4,臺中教育大學,回程
985,A1,臺中國際機場 - 臺中公園,5,大墩文化中心,回程
985,A1,臺中國際機場 - 臺中公園,6,美術館,回程
985,A1,臺中國際機場 - 臺中公園,7,忠明南路,回程
985,A1,臺中國際機場 - 臺中公園,8,東興路二段,回程
985,A1,臺中國際機場 - 臺中公園,9,文心路一段,回程
985,A1,臺中國際機場 - 臺中公園,10,黎明路,回程
985,A1,臺中國際機場 - 臺中公園,11,永春東七路,回程
985,A1,臺中國際機場 - 臺中公園,12,新烏日車站,回程
985,A1,臺中國際機場 - 臺中公園,13,臺中國際機場,回程
986,A2,臺中國際機場 - 臺中車站,1,臺中國際機場,去程
986,A2,臺中國際機場 - 臺中車站,2,靜宜大學(專用道),去程
986,A2,臺中國際機場 - 臺中車站,3,晉江寮(專用道),去程
986,A2,臺中國際機場 - 臺中車站,4,弘光科技大學(專用道),去程
986,A2,臺中國際機場 - 臺中車站,5,正英路(專用道),去程
986,A2,臺中國際機場 - 臺中車站,6,坪頂(專用道),去程
986,A2,臺中國際機場 - 臺中車站,7,東海別墅(專用道),去程
986,A2,臺中國際機場 - 臺中車站,8,榮總/東海大學(專用道),去程
986,A2,臺中國際機場 - 臺中車站,9,玉門路(專用道),去程
986,A2,臺中國際機場 - 臺中車站,10,澄清醫院(專用道),去程
986,A2,臺中國際機場 - 臺中車站,11,中港新城(專用道),去程
986,A2,臺中國際機場 - 臺中車站,12,福華/裕元酒店(福安),去程
986,A2,臺中國際機場 - 臺中車站,13,台中/鼎隆商旅(秋紅谷),去程
986,A2,臺中國際機場 - 臺中車站,14,新光/遠百(專用道),去程
986,A2,臺中國際機場 - 臺中車站,15,市政府(專用道),去程
986,A2,臺中國際機場 - 臺中車站,16,長榮桂冠/永豐棧酒店(頂何厝),去程
986,A2,臺中國際機場 - 臺中車站,17,忠明國小(專用道),去程
986,A2,臺中國際機場 - 臺中車站,18,全國/金典酒店(科博館),去程
986,A2,臺中國際機場 - 臺中車站,19,臺中州廳,去程
